recipe_id,process_step,stack_layer_count,temperature_setpoint_c,pressure_setpoint_torr,gas_flow_setpoint_sccm,etch_rate_nominal_nm_min,rf_source_power_setpoint_w,duration_nominal_sec,provenance
R_OXIDATION_H8_V1,OXIDATION,8,850,760,4000,,,1800,illustrative_assumption
R_OXIDATION_H12_V1,OXIDATION,12,850,760,4000,,,1800,illustrative_assumption
R_LITHOGRAPHY_H8_V1,LITHOGRAPHY,8,23,,,,,90,illustrative_assumption
R_LITHOGRAPHY_H12_V1,LITHOGRAPHY,12,23,,,,,90,illustrative_assumption
R_DEPOSITION_H8_V1,DEPOSITION,8,350,1,800,,250,240,illustrative_assumption
R_DEPOSITION_H12_V1,DEPOSITION,12,350,1,800,,250,240,illustrative_assumption
R_ETCHING_H8_V1,ETCHING,8,60,0.08,150,100,700,120,illustrative_assumption
R_ETCHING_H12_V1,ETCHING,12,60,0.08,150,100,700,120,illustrative_assumption
R_CMP_H8_V1,CMP,8,25,,,,,120,illustrative_assumption
R_CMP_H12_V1,CMP,12,25,,,,,120,illustrative_assumption
R_TSV_ETCH_H8_V1,TSV_ETCH,8,20,0.05,250,5000,1800,780,illustrative_assumption
R_TSV_ETCH_H12_V1,TSV_ETCH,12,20,0.05,250,5000,1800,780,illustrative_assumption
R_TSV_LINER_H8_V1,TSV_LINER,8,300,0.8,500,,200,300,illustrative_assumption
R_TSV_LINER_H12_V1,TSV_LINER,12,300,0.8,500,,200,300,illustrative_assumption
R_TSV_FILL_H8_V1,TSV_FILL,8,25,,,,,1200,illustrative_assumption
R_TSV_FILL_H12_V1,TSV_FILL,12,25,,,,,1200,illustrative_assumption
R_THINNING_H8_V1,THINNING,8,25,,,,,180,illustrative_assumption
R_THINNING_H12_V1,THINNING,12,25,,,,,180,illustrative_assumption
R_BUMP_RDL_H8_V1,BUMP_RDL,8,45,,,,,300,illustrative_assumption
R_BUMP_RDL_H12_V1,BUMP_RDL,12,45,,,,,300,illustrative_assumption
