table,column,dtype,unit,grain,description,available_at,role,nullable_in_this_release,missing_count,null_meaning,generation_family,generator_expressions,parent_symbol_definitions,calibration_status
lots,lot_id,str,category/text,one DRAM lot,Fictional lot identifier for traceability or configuration.,at lot release,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: [f'L{i+1:04}' for i in li] | generate.py:72: lots.lot_id.to_numpy()[wlot] | generate.py:364: lots.lot_id.iloc[l],"li = np.arange(nl) | wlot = wi//nw | lots = pd.DataFrame(dict(lot_id=[f'L{i+1:04}' for i in li], release_time_utc=stamp(released),         split=splits, product_generation='HBM3E', stack_layer_count=h,         capacity_gb=h*c['core_die_density_gb'], scenario=c['scenario'],         material_batch_id=[f'MAT{i//6+1:03}' for i in li], wafers_in_cohort=nw,         sampled_dies_per_wafer=nd))",illustrative_simulation_assumption
lots,release_time_utc,str,UTC ISO-8601,one DRAM lot,"Release time, in a wholly simulated chronology.",at lot release,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: stamp(released),"released = pd.Timestamp(c['start_time_utc']) + pd.to_timedelta(li*c['lot_spacing_hours'], unit='h')                 + pd.to_timedelta(gap*c['split_embargo_days'], unit='D')",illustrative_simulation_assumption
lots,split,str,category/text,one DRAM lot,"Preassigned time-ordered lot partition: train, validation or test.",at lot release,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: splits | generate.py:72: splits[wlot] | generate.py:364: splits[l] | generate.py:267: splits[l] | generate.py:426: splits[l],"splits = np.where(li < train_end, 'train', np.where(li < val_end, 'validation', 'test')) | wlot = wi//nw",illustrative_simulation_assumption
lots,product_generation,str,category/text,one DRAM lot,HBM3E for this release; no HBM4 process sourcing is assumed.,at lot release,observation_or_process_context,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: 'HBM3E' | generate.py:364: 'HBM3E',,public_architecture_context; simulated row allocation (SOURCES.md)
lots,stack_layer_count,int64,count/index,one DRAM lot,"Number of core DRAM dies, excluding the base die.",at lot release,observation_or_process_context,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: h | generate.py:72: hl | generate.py:195: hl[dw] | generate.py:364: hh | generate.py:141: hh,"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hl = h[wlot] | dw = np.repeat(wi,nd) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
lots,capacity_gb,int64,GB,one DRAM lot,Stack DRAM capacity; core layer count times 3 GB per core die.,at lot release,observation_or_process_context,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: h*c['core_die_density_gb'] | generate.py:364: hh*c['core_die_density_gb'],"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
lots,scenario,str,category/text,one DRAM lot,"Named synthetic product/manufacturer scenario, not a company data source.",at lot release,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:485: c['scenario'] | generate.py:50: c['scenario'],,illustrative_simulation_assumption
lots,material_batch_id,str,category/text,one DRAM lot,Fictional material batch identifier for traceability or configuration.,at lot release,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: [f'MAT{i//6+1:03}' for i in li],li = np.arange(nl),illustrative_simulation_assumption
lots,wafers_in_cohort,int64,count/index,one DRAM lot,Number of wafers represented for the lot.,at lot release,observation_or_process_context,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: nw,,illustrative_simulation_assumption
lots,sampled_dies_per_wafer,int64,count/index,one DRAM lot,"Cohort sample size, not total physical dies on a wafer.",at lot release,observation_or_process_context,False,0,No missing values in this generated cohort.,"Product choice, categorical allocation, ordered lot timestamps and split rules.",generate.py:50: nd,,illustrative_simulation_assumption
wafers,wafer_id,str,category/text,one wafer,Fictional wafer identifier for traceability or configuration.,before selected wafer modules,identifier_or_metadata,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: wafer_ids | generate.py:195: wafer_ids[dw] | generate.py:122: wafer_ids[j] | generate.py:464: row.wafer_id,"wafer_ids = np.array([f'W{i+1:06}' for i in wi]) | dw = np.repeat(wi,nd)",illustrative_simulation_assumption
wafers,lot_id,str,category/text,one wafer,Fictional lot identifier for traceability or configuration.,before selected wafer modules,identifier_or_metadata,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:50: [f'L{i+1:04}' for i in li] | generate.py:72: lots.lot_id.to_numpy()[wlot] | generate.py:364: lots.lot_id.iloc[l],"li = np.arange(nl) | wlot = wi//nw | lots = pd.DataFrame(dict(lot_id=[f'L{i+1:04}' for i in li], release_time_utc=stamp(released),         split=splits, product_generation='HBM3E', stack_layer_count=h,         capacity_gb=h*c['core_die_density_gb'], scenario=c['scenario'],         material_batch_id=[f'MAT{i//6+1:03}' for i in li], wafers_in_cohort=nw,         sampled_dies_per_wafer=nd))",illustrative_simulation_assumption
wafers,wafer_slot,int64,count/index,one wafer,Carrier slot 1 through configured wafers_per_lot.,before selected wafer modules,observation_or_process_context,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: wi % nw+1,wi = np.arange(n_w),illustrative_simulation_assumption
wafers,wafer_diameter_mm,int64,mm,one wafer,Physical wafer diameter for the assumed sampling frame (300 mm).,before selected wafer modules,observation_or_process_context,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: c['wafer_diameter_mm'],,illustrative_simulation_assumption
wafers,full_die_sites_on_assumed_grid,int64,count/index,one wafer,Count of complete assumed 10 mm square sites within the wafer edge exclusion.,before selected wafer modules,observation_or_process_context,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: len(sites),"sites = np.column_stack([xx[keep], yy[keep]])",illustrative_simulation_assumption
wafers,sampled_die_sites,int64,count/index,one wafer,Number of die locations sampled without replacement on this wafer.,before selected wafer modules,observation_or_process_context,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: nd,,illustrative_simulation_assumption
wafers,stack_layer_count,int64,count/index,one wafer,"Number of core DRAM dies, excluding the base die.",before selected wafer modules,observation_or_process_context,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:50: h | generate.py:72: hl | generate.py:195: hl[dw] | generate.py:364: hh | generate.py:141: hh,"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hl = h[wlot] | dw = np.repeat(wi,nd) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
wafers,split,str,category/text,one wafer,"Preassigned time-ordered lot partition: train, validation or test.",before selected wafer modules,identifier_or_metadata,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:50: splits | generate.py:72: splits[wlot] | generate.py:364: splits[l] | generate.py:267: splits[l] | generate.py:426: splits[l],"splits = np.where(li < train_end, 'train', np.where(li < val_end, 'validation', 'test')) | wlot = wi//nw",illustrative_simulation_assumption
wafers,start_time_utc,str,UTC ISO-8601,one wafer,"Start time, in a wholly simulated chronology.",before selected wafer modules,identifier_or_metadata,False,0,No missing values in this generated cohort.,Deterministic lot/slot mapping and geometric wafer sampling frame.,generate.py:72: stamp(wafer_start) | generate.py:122: start[j].strftime('%Y-%m-%dT%H:%M:%SZ'),"wafer_start = released[wlot] + pd.to_timedelta((wi % nw)*8, unit='m') | start = wafer_start + pd.to_timedelta(si*8, unit='h')",illustrative_simulation_assumption
recipes,recipe_id,str,category/text,one stage/product recipe,Fictional recipe identifier for traceability or configuration.,before the run,identifier_or_metadata,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:122: recipe_id | generate.py:141: f'R_{stage}_H{hh}_V1',"recipe_id = f'R_{stage}_H{hl[j]}_V1' | stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]]) | hh = int(h[l])",illustrative_simulation_assumption
recipes,process_step,str,category/text,one stage/product recipe,One of ten selected process modules; not the complete upstream DRAM route.,before the run,observation_or_process_context,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:122: stage | generate.py:141: stage | generate.py:464: row.process_step,"stage = 'none' if not failed else ('multiple' if len(mode_list)>1 else {                 'dram_electrical':'dram_or_base','tsv_open_short':'tsv_or_interconnect',                 'microbump_open_bridge':'reflow','die_crack':'handling',                 'warpage':'assembly','underfill_void':'molding','delamination':'molding'}[mode_list[0]])",illustrative_simulation_assumption
recipes,stack_layer_count,int64,count/index,one stage/product recipe,"Number of core DRAM dies, excluding the base die.",before the run,observation_or_process_context,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:50: h | generate.py:72: hl | generate.py:195: hl[dw] | generate.py:364: hh | generate.py:141: hh,"h = np.where(rng.random(nl) < c['product_12_high_fraction'], 12, 8) | hl = h[wlot] | dw = np.repeat(wi,nd) | hh = int(h[l])",public_architecture_context; simulated row allocation (SOURCES.md)
recipes,temperature_setpoint_c,int64,degC,one stage/product recipe,Illustrative recipe lookup: temperature setpoint c. Fixed per stage/product in recipes_raw.,before the run,observation_or_process_context,False,0,No missing values in this generated cohort.,"Fixed illustrative stage recipe lookup, from recipes_raw in generate.py.",generate.py:141: temp,,illustrative_simulation_assumption
